# Constructed from biom file
#OTU ID	KarstCh1	KarstCh2	KarstCh3	KarstCh4	KarstCh5	KarstCh6	KarstCh7	KarstCh8
49136d4cf5ea00dad8c07d249925a624	0.0	62.0	0.0	0.0	0.0	0.0	0.0	0.0
4a9eebc6771e1b0950879ee3dd5c5c70	0.0	6.0	0.0	3.0	15.0	11.0	18.0	9.0
70638e4bdfebe5bbc33691cfd0afaf30	0.0	6.0	3.0	8.0	0.0	0.0	45.0	0.0
865574945a826cd5bd54d26b94f4d6a3	0.0	0.0	0.0	0.0	9.0	16.0	12.0	25.0
cd162b40212ce1802e3e806a68c0109b	2.0	0.0	5.0	0.0	17.0	16.0	9.0	12.0
4aacc02bce3facb14e4a7f89b4ef590d	8.0	0.0	0.0	5.0	0.0	44.0	0.0	3.0
870eb9bfca9f7c83a8890e5682f24773	7.0	5.0	0.0	0.0	12.0	17.0	10.0	9.0
dfed8111f4b13e41bdb1c371c0a1e56e	0.0	8.0	17.0	8.0	0.0	12.0	8.0	6.0
cd78819298b6399566a96a1d73a92c71	0.0	0.0	0.0	0.0	0.0	59.0	0.0	0.0
bdf93384cbcf5ce1fa48262271b46f05	0.0	0.0	0.0	0.0	0.0	23.0	23.0	13.0
ad765e6d39aa1c7a3811388dd6c850c6	5.0	8.0	7.0	4.0	9.0	6.0	13.0	6.0
ca0e22fd6e82e76d150591ec6cc0fedf	0.0	0.0	16.0	0.0	0.0	13.0	20.0	9.0
7a33838c9983ce6208886bcb24fdf4be	0.0	0.0	0.0	0.0	58.0	0.0	0.0	0.0
6c21537648792fb16a0703b7b27d0e35	0.0	43.0	5.0	0.0	9.0	0.0	0.0	0.0
705637a59e69864631795a04d0b50d8f	8.0	11.0	15.0	0.0	0.0	0.0	11.0	10.0
d4ed808377140d2ea98d43cfc92606f1	0.0	55.0	0.0	0.0	0.0	0.0	0.0	0.0
d426f595085857b4d61267d698c6536e	27.0	9.0	0.0	0.0	0.0	0.0	0.0	18.0
09032960688f61f2e9a61fde117599df	0.0	0.0	0.0	0.0	0.0	54.0	0.0	0.0
c0c55df62b51186b90ec85a77f5c0f6d	0.0	0.0	0.0	0.0	0.0	0.0	54.0	0.0
5ad27241c9616518567e4503c2944602	11.0	0.0	0.0	0.0	7.0	28.0	2.0	5.0
2f01552f5abed03efae4404fba66824a	6.0	9.0	9.0	4.0	5.0	8.0	6.0	6.0
c863baa6edb8c6ba25fa0f72dd879608	3.0	5.0	33.0	0.0	12.0	0.0	0.0	0.0
d2d4cd14e4f42cf71714446cc1a76a98	0.0	3.0	6.0	0.0	0.0	20.0	16.0	8.0
7332b805a600293199f0036787d6b1a6	0.0	0.0	0.0	0.0	28.0	0.0	0.0	25.0
